sample_ID,p_available_40_gkg,p_SOM_40_gkg,p_Ca_40_gkg,p_OCC_40_gkg
595,0.00366024,0.010362754,0.00055346,0.039752114
599,0.004753504,0.014876898,0.00999382,0.097738998
601,0.005244744,0.011158001,0.001036811,0.074221182
603,0.006050298,0.012802648,0.000974187,0.068484961
606,0.020819583,0.017657425,0.01153131,0.341427146
SA7,0.007343462,0.01152343,0.000264083,0.145553929
SA8,0.007459746,0.010817189,0.000122012,0.142926947
BK9,-0.0076494,0,-0.0017864,0
611,0.022927535,0.020302477,0.0649198,0.105907905
614,0.004459466,0.00779689,0.001077328,0.065766889
617,0.009094941,0.007684859,0.003812451,0.105391489
620,0.00894537,0.009812874,0.00137286,0.121930939
623,0.007684712,0.003907893,0.000206532,0.086029186
626,0.063136882,0.02466912,0.229980164,0.123657106
627,0.035914853,0.016521403,0.005751177,0.167422269
631,0.00944335,0.007829468,0.000618389,0.111568897
633,0.007513481,0.002877944,,0.068168263
637,0.008321849,0.008699838,0.000828552,0.158992648
640,0.006851316,0.005759413,0.000914601,0.118219673
643,0.004837529,0.008138464,6.7591E-05,0.073811675
645,0.003912985,0.004291595,,0.11079917
650,0.004738743,0.004968907,,0.112089759
10,0.007891963,0.007382053,0.000626317,0.130703152
14,0.003534258,0.005943059,6.79817E-05,0.191259004
18,0.004602331,0.003613061,,0.099441271
91,0.025195671,0.021048759,0.015006734,0.186773924
95,0.008362585,0.004938157,0.000281697,0.087765661
279,0.009305176,0.013854928,0.003107069,0.134592333
288,0.006467096,0.009555044,0.000490887,0.067439933
290,0.006516368,0.012072889,0.004167224,0.148452704
SA9,0.008326973,0.008722641,0.000337955,0.162468736
SA10,0.008715018,0.008915473,0.000260387,0.168526126
BK10,-0.170952,-0.006645751,0,0
46,0.005978519,0.006658712,0.000194227,0.049945539
48,0.005703714,0.004914084,0.000200426,0.05499391
50,0.000112171,0.002163252,,0.036831217
51,0.006237466,0.003576513,0.000198887,0.058617317
52,0.004394839,0.00209663,6.72639E-05,0.05376584
53,0.007507836,0.004052323,0.000201988,0.059456978
300,0.005450684,0.003662494,0.000127689,0.08777062
302,0.006473327,0.00520887,,0.093879463
303,0.004733923,0.004045755,,0.066947913
304,0.016684144,0.005403425,6.71984E-05,0.089307025
305,0.006719704,0.007534711,0.000341304,0.098414466
306,0.00704234,0.000994221,,0.0547355
307,0.004624611,0.002233425,0.000137884,0.069644658
315,0.013985902,0.009962368,0.000399691,0.132551919
321,0.008588796,0.011227384,0.000469476,0.07290009
324,0.02910249,0.024069,0.000466757,0.142801883
361,0.030627321,0.041718653,0.08162131,0.168459368
363,0.058297537,0.032707996,0.166882893,0.291020375
369,0.080458043,0.028182588,0.43969249,0.322366091
383,0.299563875,0.071836692,1.391762203,0.188881848
SA11,0.00809888,0.008495806,0.000814303,0.146093517
SA12,0.00853744,0.010567199,0.000959444,0.140242038
BK11,0,0,0,0
68,0.040225282,0.040202092,0.164235287,0.252490648
91,0.022556981,0.02131813,0.037753773,0.178241316
95,0.007875794,0.005532106,0.000894859,0.111319041
294,0.016041967,0.009262304,0.027310149,0.079245018
308,0.065801252,0.028283162,0.088873404,0.076817086
326,0.016515938,0.012297138,0.027326638,0.093541607
369,0.081543065,0.031019205,0.182969811,0.22074704
SA13,0.008186429,0.0107321,0.000977992,0.148341493
SA14,0.007756054,0.010927777,0.002893902,0.137878852
HS11,0.019157132,0.002610373,6.84351E-05,0.256222082
HS12,0.018183115,0.002502403,6.81051E-05,0.250053587
BK12,-0.055195,0,0,0
